chapter_id,verse_number,verse_key,arabic_text,arabic_text_raw,turkish_text
1,1,1:1,بسم الله الرحمن الرحيم,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,Rahman ve Rahim olan Allah'ın adıyla:
1,2,1:2,الحمد لله رب العلمين,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,"Hamd, Alemlerin Rabbi Allah'a mahsustur."
1,3,1:3,الرحمن الرحيم,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,"O Rahman ve Rahim'dir,"
1,4,1:4,ملك يوم الدين,مَـٰلِكِ يَوْمِ ٱلدِّينِ,Din Gününün sahibidir.
1,5,1:5,اياك نعبد واياك نستعين,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Ancak Sana kulluk eder ve yalnız Senden yardım dileriz.
1,6,1:6,اهدنا الصرط المستقيم,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,Bizi doğru yola eriştir.
1,7,1:7,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,"Nimete erdirdiğin kimselerin yoluna; gazaba uğrayanların, ya da sapıtanların yoluna değil."
2,1,2:1, الم, الٓمٓ,"Elif, Lam, Mim."
2,2,2:2,ذلك الكتب لا ريب ۛ فيه ۛ هدى للمتقين,ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,"Bu, doğruluğu şüphe götürmeyen ve Allah'a karşı gelmekten sakınanlara yol gösteren Kitap'dır."
2,3,2:3,الذين يومنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ,"Onlar, gaybe inanırlar, namazı kılarlar, kendilerine verdiğimiz rızıktan yerli yerince sarfederler."
