chapter_id,chapter_name,verse_number,verse_key,arabic_text_raw,arabic_text_normalized,arabic_text_search,arabic_words,turkish_text
1,Al-Fatihah,1,1:1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,بسم ٱلله ٱلرحمن ٱلرحيم,بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,Rahman ve Rahim olan Allah'ın adıyla:
1,Al-Fatihah,2,1:2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,ٱلحمد لله رب ٱلعلمين,الحمد لله رب العلمين,الحمد لله رب العلمين,"Hamd, Alemlerin Rabbi Allah'a mahsustur."
1,Al-Fatihah,3,1:3,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,ٱلرحمن ٱلرحيم,الرحمن الرحيم,الرحمن الرحيم,"O Rahman ve Rahim'dir,"
1,Al-Fatihah,4,1:4,مَـٰلِكِ يَوْمِ ٱلدِّينِ,ملك يوم ٱلدين,ملك يوم الدين,ملك يوم الدين,Din Gününün sahibidir.
1,Al-Fatihah,5,1:5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,إياك نعبد وإياك نستعين,اياك نعبد واياك نستعين,اياك نعبد واياك نستعين,Ancak Sana kulluk eder ve yalnız Senden yardım dileriz.
1,Al-Fatihah,6,1:6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,ٱهدنا ٱلصرط ٱلمستقيم,اهدنا الصرط المستقيم,اهدنا الصرط المستقيم,Bizi doğru yola eriştir.
1,Al-Fatihah,7,1:7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,صرط ٱلذين أنعمت عليهم غير ٱلمغضوب عليهم ولا ٱلضالين,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,"Nimete erdirdiğin kimselerin yoluna; gazaba uğrayanların, ya da sapıtanların yoluna değil."
2,Al-Baqarah,1,2:1, الٓمٓ,الم,الم,الم,"Elif, Lam, Mim."
2,Al-Baqarah,2,2:2,ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,ذلك ٱلكتب لا ريب  فيه  هدى للمتقين,ذلك الكتب لا ريب  فيه  هدي للمتقين,ذلك الكتب لا ريب فيه هدي للمتقين,"Bu, doğruluğu şüphe götürmeyen ve Allah'a karşı gelmekten sakınanlara yol gösteren Kitap'dır."
2,Al-Baqarah,3,2:3,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ,ٱلذين يؤمنون بٱلغيب ويقيمون ٱلصلوة ومما رزقنهم ينفقون,الذين يومنون بالغيب ويقيمون الصلوه ومما رزقنهم ينفقون,الذين يومنون بالغيب ويقيمون الصلوه ومما رزقنهم ينفقون,"Onlar, gaybe inanırlar, namazı kılarlar, kendilerine verdiğimiz rızıktan yerli yerince sarfederler."
2,Al-Baqarah,4,2:4,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ,وٱلذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبٱلاخرة هم يوقنون,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,"Onlar, sana indirilen Kitap'a da, senden önce indirilenlere de inanırlar; ahirete de yalnız onlar kesinlikle inanırlar."
2,Al-Baqarah,5,2:5,أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,أولئك على هدى من ربهم  وأولئك هم ٱلمفلحون,اوليك علي هدي من ربهم  واوليك هم المفلحون,اوليك علي هدي من ربهم واوليك هم المفلحون,İşte Rab'lerinin yolunda olanlar ve saadete erişenler bunlardır.
2,Al-Baqarah,6,2:6,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,إن ٱلذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يومنون,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يومنون,"Şüphe yok ki, inkar edenleri, başlarına gelecekle uyarsan da uyarmasan da birdir, inanmazlar."
2,Al-Baqarah,7,2:7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَـٰرِهِمْ غِشَـٰوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,ختم ٱلله على قلوبهم وعلى سمعهم  وعلى أبصرهم غشوة  ولهم عذاب عظيم,ختم الله علي قلوبهم وعلي سمعهم  وعلي ابصرهم غشوه  ولهم عذاب عظيم,ختم الله علي قلوبهم وعلي سمعهم وعلي ابصرهم غشوه ولهم عذاب عظيم,"Allah onların kalblerini ve kulaklarını mühürlemiştir, gözlerinde de perde vardır ve büyük azab onlar içindir."
2,Al-Baqarah,8,2:8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ,ومن ٱلناس من يقول ءامنا بٱلله وبٱليوم ٱلاخر وما هم بمؤمنين,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمومنين,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمومنين,"İnsanlardan, inanmadıkları halde, &quot;Allah'a ve ahiret gününe inandık&quot; diyenler vardır."
2,Al-Baqarah,9,2:9,يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,يخدعون ٱلله وٱلذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون,يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,"Bunlar Allah'ı ve inananları aldatmaya çalışırlar, oysa sadece kendilerini aldatırlar da farkında değildirler."
2,Al-Baqarah,10,2:10,فِى قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,فى قلوبهم مرض فزادهم ٱلله مرضا  ولهم عذاب أليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا  ولهم عذاب اليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون,"Kalblerinde hastalık vardır, Allah hastalıklarını artırmıştır. Yalan söyleye geldikleri için onlara elem verici azab vardır."
3,Ali 'Imran,1,3:1, الٓمٓ,الم,الم,الم,"Elif, Lam, Mim."
3,Ali 'Imran,2,3:2,ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ,ٱلله لا إله إلا هو ٱلحى ٱلقيوم,الله لا اله الا هو الحي القيوم,الله لا اله الا هو الحي القيوم,"Allah, Ondan başka tanrı olmayan, diri, her an yaratıklarını gözetip durandır."
